direction,amount_in,price_a_usd,price_b_usd
A_TO_B,572.2307844902567,3276.65,94988.3
A_TO_B,658.0654021637953,3276.28,94990.17
A_TO_B,94.9513837979002,3276.81,95019.95
A_TO_B,771.0179200580496,3276.81,95019.95
A_TO_B,886.670608066757,3275.19,94980.99
B_TO_A,0.8862589947629576,3275.0,94973.29
A_TO_B,1007.5794538311925,3275.0,94973.29
A_TO_B,115.05041566004039,3274.3,94959.72
A_TO_B,1175.9739342548773,3274.3,94959.72
A_TO_B,1352.370024393109,3272.08,94898.33
A_TO_B,1555.225528052075,3271.49,94890.1
A_TO_B,1788.5093572598864,3273.13,94938.94
B_TO_A,0.7763354155136134,3272.26,94911.5
A_TO_B,2014.078305898156,3272.26,94911.5
A_TO_B,2316.1900517828794,3270.84,94871.1
B_TO_A,0.5466960324025207,3272.52,94917.02
A_TO_B,2613.087227619616,3272.52,94917.02
A_TO_B,3005.0503117625585,3274.6,94945.89
A_TO_B,3455.8078585269423,3273.7,94927.37
A_TO_B,3974.179037305984,3272.49,94917.11
B_TO_A,0.0842545766573947,3274.17,94923.75
A_TO_B,4547.054029216498,3274.17,94923.75
A_TO_B,5229.112133598972,3272.82,94909.27
A_TO_B,6013.478953638818,3270.5,94869.12
A_TO_B,680.0446267229449,3270.13,94861.39
A_TO_B,7017.507490693082,3270.13,94861.39
B_TO_A,0.08624886657853642,3273.19,94934.76
A_TO_B,7996.222815949293,3273.19,94934.76
A_TO_B,9195.656238341688,3275.15,94981.44
A_TO_B,10575.004674092941,3275.96,95010.0
B_TO_A,0.058724582299647235,3276.19,95009.99
A_TO_B,12047.002736789214,3276.19,95009.99
B_TO_A,0.06551325128709744,3275.42,95006.88
A_TO_B,13689.059021457246,3275.42,95006.88
A_TO_B,15742.417874675832,3276.83,95037.05
B_TO_A,0.044590819116826864,3276.64,95028.93
A_TO_B,17911.762559062612,3276.64,95028.93
B_TO_A,0.06313957844308223,3276.38,95012.71
A_TO_B,20248.80243394547,3276.38,95012.71
A_TO_B,23286.122799037294,3276.02,95004.13
A_TO_B,2464.598101620986,3275.14,94988.0
A_TO_B,27148.730934136034,3275.14,94988.0
A_TO_B,31221.04057425644,3274.89,94970.11
A_TO_B,2539.234568053504,3273.76,94962.61
A_TO_B,36285.08184560293,3273.76,94962.61
A_TO_B,41727.84412244337,3273.78,94959.72
B_TO_A,0.019174949550313097,3273.81,94959.73
A_TO_B,47407.73069089302,3273.81,94959.73
B_TO_A,0.016116634663464816,3273.0,94948.47
A_TO_B,53890.08080416297,3273.0,94948.47
A_TO_B,61973.59292478741,3273.49,94965.56
A_TO_B,8300.724308197374,3273.25,94952.64
A_TO_B,72514.74050973513,3273.25,94952.64
B_TO_A,0.008103696032361052,3273.71,94962.22
A_TO_B,82650.23116418102,3273.71,94962.22
A_TO_B,95047.76583880818,3274.43,94962.21
B_TO_A,0.007967640146943067,3274.94,95003.25
A_TO_B,108055.23534032937,3274.94,95003.25
A_TO_B,124263.52064137877,3275.24,95031.87
A_TO_B,142903.0487375856,3271.94,94978.14
A_TO_B,164338.50604822344,3272.7,94996.74
A_TO_B,188989.28195545694,3273.97,95007.49
A_TO_B,217337.6742487755,3275.15,95007.84
A_TO_B,249938.32538609183,3272.87,94959.72
A_TO_B,287429.0741940056,3275.09,94999.32
B_TO_A,0.0013052716877466376,3275.15,95006.2
A_TO_B,328660.36873880407,3275.15,95006.2
A_TO_B,377959.42404962465,3275.9,95021.13
A_TO_B,434653.3376570684,3276.94,95002.09
A_TO_B,44213.826876118896,3276.29,94973.02
A_TO_B,506483.41233704647,3276.29,94973.02
B_TO_A,0.001851642782580102,3276.99,94979.34
A_TO_B,574231.6742168118,3276.99,94979.34
A_TO_B,660366.4253493337,3275.85,94961.38
A_TO_B,31840.892917552756,3272.32,94909.19
A_TO_B,764197.5230893666,3272.32,94909.19
A_TO_B,878827.1515527716,3269.09,94861.2
A_TO_B,1010651.2242856873,3268.4,94849.98
A_TO_B,1162248.9079285404,3269.92,94858.08
A_TO_B,1336586.2441178213,3266.4,94752.94
A_TO_B,1537074.1807354945,3267.32,94766.52
A_TO_B,1767635.3078458188,3265.12,94723.17
A_TO_B,2032780.6040226917,3266.3,94697.63
B_TO_A,0.0006876947187093776,3266.78,94733.99
A_TO_B,2288833.899006972,3266.78,94733.99
