direction,amount_in,price_a_usd,price_b_usd
A_TO_B,1000.0,1283.17,40199.99
A_TO_B,1000.0,1284.15,40239.88
A_TO_B,1000.0,1286.44,40296.0
A_TO_B,1000.0,1286.44,40296.0
A_TO_B,1000.0,1287.72,40333.72
B_TO_A,1000.0,1286.26,40331.31
A_TO_B,1000.0,1286.26,40331.31
A_TO_B,1000.0,1285.08,40283.58
A_TO_B,1000.0,1285.08,40283.58
A_TO_B,1000.0,1287.03,40363.71
A_TO_B,1000.0,1287.68,40442.16
A_TO_B,1000.0,1286.88,40447.97
B_TO_A,1000.0,1288.23,40469.47
A_TO_B,1000.0,1288.23,40469.47
A_TO_B,1000.0,1289.88,40438.44
B_TO_A,1000.0,1290.68,40459.64
A_TO_B,1000.0,1290.68,40459.64
A_TO_B,1000.0,1290.0,40441.4
A_TO_B,1000.0,1288.85,40428.66
A_TO_B,1000.0,1287.2,40409.96
B_TO_A,1000.0,1285.81,40424.27
A_TO_B,1000.0,1285.81,40424.27
A_TO_B,1000.0,1288.99,40505.16
A_TO_B,1000.0,1283.0,40413.78
A_TO_B,1000.0,1285.0,40445.64
A_TO_B,1000.0,1285.0,40445.64
B_TO_A,1000.0,1282.81,40425.4
A_TO_B,1000.0,1282.81,40425.4
A_TO_B,1000.0,1284.04,40475.9
A_TO_B,1000.0,1283.79,40450.0
B_TO_A,1000.0,1284.55,40506.0
A_TO_B,1000.0,1284.55,40506.0
B_TO_A,1000.0,1283.8,40461.19
A_TO_B,1000.0,1283.8,40461.19
A_TO_B,1000.0,1284.12,40480.38
B_TO_A,1000.0,1281.39,40450.0
A_TO_B,1000.0,1281.39,40450.0
B_TO_A,1000.0,1280.74,40483.48
A_TO_B,1000.0,1280.74,40483.48
A_TO_B,1000.0,1281.71,40503.66
A_TO_B,1000.0,1281.22,40511.29
A_TO_B,1000.0,1281.22,40511.29
A_TO_B,1000.0,1282.54,40513.98
A_TO_B,1000.0,1281.38,40531.03
A_TO_B,1000.0,1281.38,40531.03
A_TO_B,1000.0,1278.21,40427.46
B_TO_A,1000.0,1279.77,40461.15
A_TO_B,1000.0,1279.77,40461.15
B_TO_A,1000.0,1279.36,40459.54
A_TO_B,1000.0,1279.36,40459.54
A_TO_B,1000.0,1280.24,40477.8
A_TO_B,1000.0,1278.14,40487.99
A_TO_B,1000.0,1278.14,40487.99
B_TO_A,1000.0,1278.27,40481.68
A_TO_B,1000.0,1278.27,40481.68
A_TO_B,1000.0,1281.14,40518.24
B_TO_A,1000.0,1282.0,40519.54
A_TO_B,1000.0,1282.0,40519.54
A_TO_B,1000.0,1285.05,40614.25
A_TO_B,1000.0,1283.73,40564.1
A_TO_B,1000.0,1289.14,40604.0
A_TO_B,1000.0,1289.5,40649.99
A_TO_B,1000.0,1289.52,40707.06
